County,Population,incidenceRate,medIncome,povertyPercent,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PctMarriedHouseholds,PctNoHS18_24,PctHS18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctUnemployed16_Over,PctPrivateCoverage,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,deathRate
"Appanoose County, Iowa",12529,489.7,40422,17.5,44.7,43.9,46.7,2.28,50.53822295,21.6,28.6,6.3,36.3,12.9,6.6,65.2,39.5,40.4,19.4,97.45836293,0.339411161,0.370984292,0.102612677,176.1
"Butler County, Nebraska",8115,399.5,54240,9.2,44.7,42.1,47.7,2.26,56.49986022,22.7,24.9,2,39.9,11.2,4.2,79.4,46.5,30.1,10.1,96.82655039,0.641957364,0.557170543,1.138565891,167.3
"Cass County, Iowa",13427,470.8,46159,13.1,44.7,42.2,47.3,2.18,50.03289474,18.5,38.3,8.7,44.3,14.6,3.2,68.6,39.4,42.6,21.8,97.52023547,0.419426049,0.38263429,0.360559235,218.8
"Gem County, Idaho",16852,533,41688,15.9,44.7,40.9,47.4,2.63,53.74742513,18.5,55.9,2.8,37.7,11.7,14.2,56.9,34.9,38.1,18.7,94.30398661,0,0.75906999,1.440439902,190
"Gilpin County, Colorado",5828,400.2,64752,7.9,44.7,44.6,44.8,2.14,47.82608696,23.8,24.3,13.9,24.4,20.1,4.9,73,54.3,22.6,11,92.14986619,0.517395183,0.142729706,2.925958965,129.8
"Hardin County, Iowa",17367,487.9,53277,11.7,44.7,42.1,46.9,2.37,54.84009752,12,32.9,12.5,34.9,13.1,4.9,78.1,52.7,31.3,12.4,95.77991146,1.023400218,0.960156385,0.983154142,169.8
"Lunenburg County, Virginia",12299,404.1,37548,22.4,44.7,43.2,46.6,2.48,47.05491585,21.3,31.4,7.7,34.9,8.1,7.3,58.5,34.4,41.3,22.6,61.81716834,34.03408186,0.286669852,1.727982163,189.8
"Mason County, Illinois",13701,525.8,46878,14.8,44.7,43.3,45.8,2.27,48.65925441,16.3,45.5,9.9,41.3,9.6,9.5,65.5,39.6,43.9,23.8,97.38779555,0.899051395,0.45306527,0.01415829,204.9
"Phillips County, Kansas",5428,427.8,45856,11.4,44.7,44.2,45.5,2.29,55.04469987,33.2,13.9,7.6,35.3,15.5,4.3,75.8,44.5,33.4,15.5,96.85511725,0.381748773,0.18178513,0.163606617,171.1
"Pickens County, Georgia",30309,512.6,51047,12.3,44.7,44.2,45.5,2.61,63.72496899,16.9,43.3,4.7,30.8,15.9,8.3,68,41.7,34.5,15.8,95.3463349,1.445864156,0.68930733,1.035642233,176.4
"Schuyler County, Illinois",7032,459.3,47092,13.2,44.7,44.4,45.3,2.2,52.13333333,5.9,40.3,9.3,39,10.3,5.3,61.7,40,33.6,18.5,94.39201204,4.541102448,0,0,214.2
"Stokes County, North Carolina",46351,460.9,45065,13.8,44.7,44.2,45.4,2.43,54.66048081,19,32.7,5.4,38.1,10.2,9.3,65.2,43.3,35.3,18.6,93.13988127,4.119071602,0.315038255,0.720087439,184.5
"Washington County, Virginia",54591,420.8,43353,14.5,44.7,43.2,46.1,2.35,52.00899749,11.1,34.4,8.8,32.9,14.4,6.9,67.4,41.5,37.7,17.7,96.45720338,1.490166,0.555159882,0.500374368,176.7
"Carroll County, Mississippi",10243,401.5,38219,17.9,44.6,43.4,47,2.75,58.25663238,35.1,31.8,5,37.3,7.8,11.9,53.6,33.5,45.3,28.4,64.828787,33.56548655,0.241826272,0,191.7
"Charlotte County, Virginia",12201,434.4,36339,20.7,44.6,41.9,45.9,2.57,46.15710354,5.4,55.8,3.3,37.6,9.2,4.9,56.2,36.2,39.2,22.7,67.00235523,31.47892471,0.146186957,0.268009421,182.2
"Cimarron County, Oklahoma",2216,456.9,41800,18,44.6,42.9,46.9,2.28,52.40904621,28.6,44.4,3,36.3,15.3,2.2,59,29.9,38.4,20.5,84.45108928,0.213583938,0.213583938,12.21700128,258.7
"Deuel County, South Dakota",4333,395,51246,10.1,44.6,43.5,45.8,2.25,57.21052632,29.8,38.4,11.3,40.8,16.3,3.1,78.4,43.8,29.6,13.8,99.00944483,0.691085003,0,0,113.9
"Freeborn County, Minnesota",30613,410.3,47203,12.5,44.6,43.1,46.4,2.33,49.27268529,15.9,36.6,5.3,36.7,11.5,4.9,70.3,43.6,39,19.6,95.12574036,1.129559504,1.307570314,1.074537981,164.1
"Gage County, Nebraska",21900,463.1,50861,11,44.6,42.9,46.1,2.3,54.4047619,15.3,37,6.4,34.6,14.1,4.3,75.9,48.7,33.2,13.4,96.66330553,0.426253552,0.417086809,0.572921441,165.2
"Graham County, North Carolina",8616,405.8,33824,20.6,44.6,42,45.9,2.63,57.63697582,32,34.2,2.2,34.9,9.7,11.1,49.8,28.2,43.9,22.5,88.6091954,0.540229885,0,0.83908046,160.7
"Hampshire County, West Virginia",23353,475.1,35980,21.2,44.6,44,45.1,2.25,33.68648224,21.5,47.4,5.3,50,6.9,8.1,50.5,35.6,44.7,31.1,97.15827033,1.422988701,0.03398182,0.097697732,212.1
"Johnson County, Wyoming",8585,412.7,51434,9.7,44.6,42.9,45.8,2.34,48.39682105,29.1,44.1,3.4,36.1,16.5,3.6,76.9,46.5,30.5,12.2,97.36046512,0.046511628,0,1.802325581,147.8
"Madison County, Virginia",13134,463.3,52513,12.3,44.6,44.3,45.2,2.58,53.72776334,19.5,31.6,10.2,36.4,14.4,6.6,65.3,42.3,33.5,16.8,85.78382901,8.252833346,0,1.026850232,169.8
"Red River County, Texas",12455,434.6,34340,20.1,44.6,42.4,47.1,2.38,45.45804465,18.3,40.8,1.9,39,10.3,7.2,53.9,28.5,42.5,21.9,79.05625845,17.56982573,0.063658789,1.002625925,201.1
"Sully County, South Dakota",1426,416.6,59879,6.3,44.6,44,46.1,2.34,55.46623794,21.4,13.6,2.9,35.6,20.5,1.7,78.6,46.6,25.7,10,98.02586794,0,0,0,179.1
"Wright County, Iowa",12773,453.2,50108,12,44.6,43.4,45.9,2.31,51.02820746,18.2,35.9,9.9,37.5,12.1,5.7,71.9,43.7,38.3,17.3,94.6737786,0.378787879,0.502473717,2.837043908,159.3
"Braxton County, West Virginia",14415,396.6,33817,22.2,44.5,43.7,45.3,2.51,53.27269485,32.6,46.2,3.4,49.1,8.5,14.4,56.1,38.9,43.4,25.4,97.91234619,0.497718789,0,0,196.3
"Carroll County, Ohio",27811,472.5,46177,13.5,44.5,43.3,46.1,2.54,59.31461903,17,44.1,5.3,47.5,6.7,7.1,65.3,45.4,35.1,19.6,97.16864709,0.835654596,0.222136032,0.363174782,172.8
"Chowan County, North Carolina",14394,437.7,38887,23.2,44.5,40.6,47.4,2.41,46.13708731,15.5,22.6,12.6,33.7,12,12.7,56,28.9,44.5,26.3,63.05267467,34.15665939,0.211517467,0.784661572,189
"Garrett County, Maryland",29460,417.1,47441,12.4,44.5,42.8,45.6,2.47,57.15249094,15.8,31.8,7.8,42.2,10.2,7,62.5,41,41.4,23.2,97.29312716,0.603763459,0.412571697,0.09391876,154.8
"Hardy County, West Virginia",13852,374.9,41010,15.3,44.5,44.2,45,2.69,51.41582622,24.9,54.2,3.9,47.7,9.3,7.9,65.8,46.9,38.2,19.1,94.69001148,4.355625718,0.46641791,0.215269805,153
"Houston County, Texas",22785,372.1,33698,25.9,44.5,43.2,47.1,2.45,46.04772558,27.1,38.1,3.5,37.3,10.9,6.4,53.6,34.3,42.6,24.9,67.36241231,25.55666914,0.148154604,4.823739597,176.8
"Isle of Wight County, Virginia",36314,460.2,64350,10.2,44.5,43.4,46,2.57,59.93899339,14.1,36.2,7.5,27.7,17.3,8.3,76.5,48,29.2,12.6,71.82148853,22.77560157,0.948517068,1.175153889,200.6
"Jackson County, Iowa",19444,543.5,50299,11.3,44.5,43.2,46.2,2.29,53.30250208,15.1,35.2,6,44.8,10.4,4.4,74.1,42.2,35.2,15.2,97.30226855,0.178826896,0.40363785,0.051093399,191.7
"Johnson County, Tennessee",17830,414.7,31330,26.4,44.5,43,47.5,2.29,55.01498074,15.8,46.9,2.4,40.9,6.1,9,56.6,31.4,48.7,26.1,93.40067714,3.946272964,0.127657213,0.782594217,211.3
"Osceola County, Iowa",6154,432.9,51423,9.1,44.5,42.7,46.5,2.28,56.51685393,27.1,40.1,6.3,37.6,13.6,3.3,74.2,43.9,34.1,14.6,95.5240702,0.402511673,0.257607471,2.656577041,162
"Ransom County, North Dakota",5448,447,56270,8.4,44.5,42.1,46.6,2.25,51.70068027,20.1,45.7,8.6,36.4,14.6,2,83.6,54.9,29.4,8.8,97.21254355,0.586832936,0.293416468,0,181.4
"Renville County, Minnesota",14892,441.3,54386,11.3,44.5,43.5,45.5,2.34,54.09241445,16.1,40.8,9.1,37.5,12.2,5,76.2,43.1,35,15.1,94.04785446,0.75802518,0.58005405,2.768439786,176.5
"Shannon County, Missouri",8258,381,27382,28.2,44.5,43,45.3,2.5,54.22642661,18.7,44.1,6.2,37.9,9.4,9.2,54.2,32.4,41.6,24.1,95.64746904,0.276542022,0,0.396777684,210.7
"Swift County, Minnesota",9340,405.8,51032,10.8,44.5,43.5,45.8,2.21,52.02079887,17.6,38.7,6.8,38.6,12.6,3.9,72,42.4,38.6,19.8,95.9160105,1.637795276,0.167979003,1.375328084,162.3
"Wayne County, Iowa",6385,398.5,42006,16.7,44.5,43.4,45,2.41,51.81047766,40.9,26.4,6.4,43.5,9.9,4.3,65.1,32.9,41.9,18.1,97.6660401,0.469924812,0.062656642,0,150.9
"White County, Illinois",14327,502.9,46927,14.1,44.5,43.4,45.4,2.28,54.14033382,20.3,25.5,3.5,35.1,8.7,8.8,65.5,42.5,42.4,23.1,98.17477876,0.400995575,0.373340708,0.013827434,230.3
"Cambria County, Pennsylvania",136411,488.3,42703,15.3,44.4,42.7,46.2,2.28,47.39754633,9.1,32.4,8.9,46.3,12,8.5,72.3,45.8,39.9,17.6,93.8492334,3.407207582,0.495763411,0.304919609,168.5
"Clark County, Kansas",2096,384.3,47650,13,44.4,42.2,44.8,2.25,50.48543689,19.6,33.1,12.8,26.1,23.5,1.4,75.3,52.4,29.5,13.1,91.65501166,1.025641026,0.745920746,1.724941725,153.7
"Frontier County, Nebraska",2624,443.6,48543,13.7,44.4,42.7,45.1,2.25,58.11808118,8.1,12.1,6.5,34.7,11.8,2.4,77,40.8,30.4,10.8,98.25106879,0,0,0,127.2
"Juneau County, Wisconsin",26224,434.3,45158,13.1,44.4,42.9,45.9,2.48,49.77964744,17.9,43,7.4,42.2,9,7.1,66,41.4,42.7,21.4,94.32701744,2.347701366,0.441609421,0.362346192,174
"Kalkaska County, Michigan",17260,469.6,40709,17.4,44.4,43.4,45.4,2.38,50.21572721,19.9,41,3.4,42.4,8.2,10.4,60.6,35.8,45,22.1,96.25652931,0.684852002,0.429483459,0.249564713,200.7
"Lawrence County, Pennsylvania",88082,493.6,44903,13.2,44.4,42.4,45.9,2.38,49.46891725,12.8,34.4,8.7,45,13.2,7,68.4,44.9,39.9,20.3,93.19889639,3.798703484,0.417218097,0.548439918,186.1
"Mitchell County, Kansas",6282,378.3,48645,11.2,44.4,40.8,48,2.25,55.30331224,16.5,40.7,4.2,34,18,2.6,79.5,47.3,27.6,11.3,97.87166455,0.381194409,0.698856417,0.142947903,151.3
"Pasco County, Florida",497909,470.7,45219,14.7,44.4,43.3,45.5,2.53,50.5624792,16.3,37,5.4,33.7,14.2,9.4,61,37.9,39.4,21,88.67778872,5.070229173,2.309258734,1.084525379,176.4
"Santa Fe County, New Mexico",148686,374.3,52628,14.2,44.4,42.7,46.2,2.35,43.68165547,25.2,25.9,6.9,21.4,20.4,7.9,60.1,36.3,35.9,19.7,83.24428311,0.781058814,1.213394241,8.915218751,126.1
"Shelby County, Illinois",21775,457,48994,11.7,44.4,42.8,46.2,2.42,58.74613003,7.3,45.5,5.8,45.5,10.9,6.2,70.8,46.5,37.2,18.8,98.47614741,0.551661768,0.325570879,0.049739995,164.4
"Tyrrell County, North Carolina",4070,431,32773,28.3,44.4,41.8,49.3,2.45,47.13990351,28.1,40.7,0,37.1,3.9,14.1,50.1,19.8,46.5,23,59.89884393,30.39499037,2.817919075,4.359344894,222.3
"Washington County, Colorado",4864,381.7,45784,11.4,44.4,41.8,45.6,2.3,58.32908813,22.7,41.4,2.6,35.1,12.6,5.1,67.2,39.7,37,19.4,96.0375391,0.583941606,0.458811262,1.147028154,118.4
"Waupaca County, Wisconsin",51945,472.2,52850,10.4,44.4,43.5,45.3,2.35,53.3624373,14.7,47.1,5.2,43.7,12.6,5.7,73.5,52,33.4,16.7,96.91127098,0.441247002,0.447002398,0.627338129,189.4
"Wilkes County, Georgia",9867,481.7,32042,26.7,44.4,43.1,46,2.45,41.56265602,35.1,35.6,1.8,43.4,8.7,8.9,55.2,31.4,43.4,25.2,53.19787809,42.35812231,0.7406666,2.64237814,210
"Cocke County, Tennessee",35162,469.2,30860,27.8,44.3,43.1,45.1,2.38,47.72943576,11.5,63.7,0.5,46.6,6.4,11.1,51.1,28.9,48.1,28.8,95.15302511,1.548653775,0,0.334078877,221.7
"Cumberland County, Virginia",9719,436.4,41409,19,44.3,41.5,45.4,2.45,44.61615155,7.8,42.1,9,36.5,10,10.1,57.4,33.5,40.2,21.5,63.01856172,33.14737803,0,0,179.2
"Ellis County, Oklahoma",4231,415.5,52032,12,44.3,43.2,45.6,2.38,54.9122807,25.4,31.8,8.3,37.4,15.8,5,69.5,43.8,34.5,18,94.34603252,0.024265955,0.509585052,0.363989323,186.6
"Emmet County, Michigan",33161,489.1,50191,11.6,44.3,42.7,45.7,2.33,54.49526814,10.4,34.5,9.7,26.2,20.2,8.4,71.7,41.9,35.5,16.2,92.47380217,0.748076807,0.569386395,0.221091526,168
"Issaquena County, Mississippi",1337,448.4,37096,39.5,44.3,44.5,43.7,2.33,38.76146789,38.8,36.5,0,34.9,4.4,11.6,36.6,18.3,57.1,32.7,34.3144849,65.14329977,0,0.542215337,257.8
"Jefferson County, Ohio",67347,462.5,40148,20,44.3,43,45.4,2.35,47.93976679,9.8,30.9,4.1,42.5,9.6,8.8,66,45.1,39.7,21.6,91.65209469,5.688213598,0.336502432,0.069063818,194.7
"Keokuk County, Iowa",10163,466.9,48316,13.5,44.3,43.1,45.5,2.33,53.34713596,14.2,25.8,7.4,42.8,11.2,5.1,69.7,41.1,41.1,20.8,97.81362355,0,0.21377903,0.476144204,169.3
"Luce County, Michigan",6415,366,37590,20.6,44.3,42,48.1,2.27,48.67480017,25.7,49.4,2.7,45,8.6,11.6,59.5,34.4,50.6,26.2,80.4384746,8.53790335,0.154392466,0.432298904,175.3
"Marshall County, West Virginia",31978,456.3,43356,15.2,44.3,42.9,46.5,2.36,55.3172673,8.5,45.9,9.2,45.1,11.4,7,70.3,47.8,37.5,17,97.66625616,0.858990148,0.406403941,0.172413793,184.6
"Meigs County, Tennessee",11830,461.4,34801,20.8,44.3,43.6,44.8,2.51,54.91341991,14.8,63.8,3.1,42.7,4.6,15,57,37.4,42.7,23.7,96.24445203,1.596107887,0,0,229.6
"Mercer County, Illinois",15858,460,54916,9.6,44.3,43.1,45.3,2.4,58.58937491,14.3,34.8,5.8,41.9,10.6,6.2,78.7,52.8,33.2,14.2,97.42348047,0.47184454,0.31663252,0.769851617,179.9
"Oconee County, South Carolina",75713,476.6,39548,17.5,44.3,42.6,45.8,2.43,52.09451499,15.8,35.5,5.6,31.8,13.7,10.4,63.5,37.9,39.9,18.7,88.21465263,7.498432267,0.645772459,1.523702785,172.9
"Shawano County, Wisconsin",41304,457.1,47841,11.2,44.3,43.6,45.2,2.41,53.8656602,12.7,47,3.6,45.3,10.5,5.4,68.9,47.2,35.5,19.1,89.41366119,0.288718331,0.459543344,0.295936289,168
"Smyth County, Virginia",31470,389.1,37831,19.7,44.3,42.8,46.1,2.43,49.67565455,14.7,44.8,4.6,38.8,9.2,6.4,59.2,39.8,41.4,24.3,96.08621668,2.136509737,0.343480179,0.012604777,202.4
"Stephenson County, Illinois",45749,407.6,48569,14.1,44.3,43.4,45.4,2.37,48.01803202,18.9,32,5.2,35.3,11.5,9.9,63.4,40.1,44.1,26,86.2691689,9.192493298,0.838605898,0.932975871,182.6
"Sullivan County, Tennessee",156791,472.8,38840,18.5,44.3,43.2,45.6,2.32,50.28831243,13,38,6.5,34.8,13.6,8.2,64.3,41.1,40.2,20.3,94.64440645,1.933627641,0.58372461,0.79616209,187.2
"Warren County, Georgia",5460,397.1,31623,28.9,44.3,40.2,46,2.58,37.69411765,19.5,40.9,6.8,42.3,8.1,16.4,52.9,34.3,42.1,25.8,37.56518612,58.82035605,1.276748786,0.557453695,194.6
"Asotin County, Washington",22105,371.3,44055,16.3,44.2,43.6,44.9,2.34,49.15961888,23.8,37.5,2,30.5,12.9,9.6,64.1,37.1,43.3,21.2,93.52994555,0.444646098,0.875680581,0.762250454,188.3
"Augusta County, Virginia",74314,408.9,57808,9.8,44.2,43,45.4,2.5,59.29662522,16.2,50,2.8,40.1,14.7,4.7,74.9,47.9,30.9,13.1,93.09818643,4.045751016,0.580665199,0.773770138,167.1
"Carroll County, Arkansas",27704,380.4,36964,17.9,44.2,43.7,44.9,2.49,54.6597431,23,45.9,4.2,35,10.5,6.2,54.4,32,43.8,24.3,94.36222182,0.564501538,0.383571558,0.933598697,167.6
"Cerro Gordo County, Iowa",43017,493.5,49569,12,44.2,43,45.9,2.17,46.38557303,8.9,39.1,11.5,31.8,16,4.4,73.8,46.9,37,15.9,95.04151238,1.251121179,1.131528714,0.572663922,154.2
"Ellsworth County, Kansas",6343,374,46961,12.4,44.2,41.1,48.8,2.08,51.06382979,20.9,27.9,8.4,32.2,15.2,4.3,78.3,44.6,31.7,13.2,90.28081123,3.83775351,0.327613105,1.700468019,149.6
"Fayette County, Pennsylvania",133628,495.6,36902,20.2,44.2,42.1,45.8,2.41,46.48961979,18.7,42,7.9,49.9,9.7,8.4,65.5,43.7,41.3,21.9,92.92330053,4.125293843,0.196513189,0.26992755,198.7
"Fentress County, Tennessee",17917,496.6,30299,28.1,44.2,42.7,45.2,2.43,51.01314348,10.9,51.8,5.3,44.2,7,10.4,45.2,24.2,53.2,33,97.90864982,0.16173108,0.306731359,0.340192962,230.9
"Geauga County, Ohio",94102,441,72264,7.8,44.2,43.3,45,2.67,63.62799793,24.2,31.5,12.8,27.3,23.8,4.1,77.5,54.9,25,10,96.74457251,1.328376334,0.604001108,0.111852057,142.4
"Grant County, Oklahoma",4523,445.9,49774,12.3,44.2,44.3,44.1,2.26,53.55691057,19.3,41.5,1.3,36,17.9,3.6,74.8,40.3,33.1,13.7,90.05977419,0.376355988,0.199247288,2.324551694,174.4
"Green County, Kentucky",11010,435.4,33640,21.5,44.2,43.1,45.9,2.46,55.77395577,20.9,43.5,7.7,46,6.2,9,59.7,39.1,42.9,24.6,94.69010674,3.040631447,0.627859001,0,195.3
"Hancock County, Tennessee",6572,483.5,27323,29.5,44.2,43.4,45,2.35,47.56717502,5.7,58.9,0,39.4,7.3,12.1,48.1,34.1,49.4,31.1,97.41041855,0.451671183,0.060222824,0.060222824,230.9
"Manitowoc County, Wisconsin",79806,440.1,48430,10.8,44.2,43,45.6,2.34,53.3734194,13.2,37.7,9.4,39.9,14.2,5.7,75.2,53.1,34,16.3,94.56911862,0.465717018,2.653966046,0.532780269,165.9
"Maries County, Missouri",8963,287.4,40165,16.1,44.2,43.7,44.7,2.44,53.58111774,29.5,28.4,0,42.8,10.3,10,60.6,36.5,39.6,22.9,96.41161533,0.419564977,0.607265099,0.342276692,187.4
"McCulloch County, Texas",8341,430.6,39649,18.9,44.2,40.8,45.7,2.59,53.16375199,11.6,59.4,1.4,31.3,10.7,4.3,58.2,33.7,41.8,22.3,88.891575,1.643901849,0,2.308715097,186.9
"Middlesex County, Connecticut",164063,488.8,76365,7.9,44.2,43.1,45.5,2.4,52.46457038,9.2,31,11.7,26.8,22.2,6,80.1,59.3,27.2,12.7,88.98798172,5.07553053,2.759664578,0.931190022,154.9
"Montrose County, Colorado",40946,382.1,46336,15.5,44.2,42.4,45.5,2.4,54.41316794,29,40.7,2.7,31.6,15.3,10.2,54.1,29.7,42.8,24,92.58115889,0.646821022,0.438564253,3.192453755,151.4
"Nassau County, Florida",78444,490.1,56728,11.7,44.2,43.3,45.1,2.66,55.87154667,17.5,40.1,5.3,35.5,15.1,9.8,66.2,38.9,33.7,16,90.39008962,6.425935688,0.882973115,0.421718503,176.3
"Otsego County, Michigan",24253,457,44693,13.2,44.2,43.6,44.9,2.38,54.27882684,20.5,39.6,8.9,36.6,13.5,8.2,68.4,44.4,39.2,19,95.80796156,0.381094404,0.625491902,0.381094404,194.7
"Roane County, West Virginia",14435,449.2,33041,23.1,44.2,43.2,45,2.48,52.19686649,26,45.8,10,46.5,8.2,8.9,51.6,32.9,51.8,32.6,97.9365947,0.020497404,0.12981689,0.204974037,204
"Sanilac County, Michigan",41475,368.5,42081,14.7,44.2,43.1,45.1,2.55,53.63022113,17.8,39.1,3.7,45.1,7.8,10.7,63.8,38.5,40,20.2,96.63683534,0.571238159,0.311800828,0.606940544,170.6
"Washington County, Pennsylvania",208261,482.5,55796,10.7,44.2,42.7,45.4,2.42,52.24566809,10.3,33.9,10,39.3,18.1,6.5,77.7,53.3,32.5,13.3,93.95656642,2.947278438,0.853399672,0.226196536,186.3
"Archer County, Texas",8715,289.2,58867,9.4,44.1,43.1,45,2.6,65.25373134,19,38.8,6.6,36.5,16.6,3,72.3,49.2,28.2,12.5,94.08816494,1.036564529,0.467023579,1.526369746,138.8
"Bradford County, Pennsylvania",61281,484.4,47242,12.9,44.1,43.1,45,2.52,53.48140241,21.7,41.2,8.7,48,11.7,5.6,69,45.1,37.7,17.4,97.31792762,0.538342868,0.623513531,0.266760944,183.8
"Burnet County, Texas",45463,419.3,53203,14,44.1,42.6,45.2,2.58,55.08264463,23.2,39.8,3.9,31.9,15.6,5.1,61.3,36.5,37.5,19.2,93.19952881,2.34913012,0.310347952,2.374048568,160
"Cass County, Michigan",51657,335,48030,14.8,44.1,43.1,45.2,2.56,54.30575593,24.7,27.5,3.4,36.2,11.5,9.7,65.5,43.6,38,20.1,88.25069295,4.733215276,0.769941484,1.751616877,181.6
"Chickasaw County, Iowa",12097,467.7,50788,9.8,44.1,42.7,45.2,2.27,54.17921687,17.8,32.4,10,43.2,11.2,3.8,75.7,45.4,34.8,15.3,98.08069258,0.547206795,0.563541326,0.187847109,161.9
"Coffey County, Kansas",8384,441.5,55705,10.9,44.1,42.9,44.6,2.33,55.11347716,16.1,31.8,5.9,36.8,15.6,5.1,73,50.2,32.1,14.6,96.16930716,0.780326318,0.638448806,0.106408134,176.6
"Douglas County, Minnesota",37075,402.3,52298,9.6,44.1,42.4,45.9,2.32,56.35323607,11.5,25.3,9.1,29.9,17.8,4.5,77.9,46.3,35.2,14.1,97.72255598,0.576187875,0.243036592,0.174767886,160.9
"Fairfield County, South Carolina",22747,460.4,35490,23.1,44.1,43.5,44.8,2.52,44.17130145,14,53.6,2.2,39.8,8.6,12.8,52.4,34.7,43.2,26.3,39.11199585,57.43898217,0.268305349,0.701055911,201.9
"Garland County, Arkansas",97177,464.4,40621,18.7,44.1,42.4,45.6,2.35,47.04144949,17.1,34.8,4.5,32.2,13.2,9.2,56.3,30.2,44.6,23.6,85.25692596,8.349320296,0.63122718,3.033397281,196.4
"Henry County, Missouri",21737,483.4,39232,18.3,44.1,42.9,45.3,2.29,50.39924354,18.9,44.5,4.9,41.3,10.2,7.4,62,34.7,41,19.8,96.1423255,1.720068984,0.158845421,0.013615322,222.5
"Iroquois County, Illinois",28672,485.8,46895,15.8,44.1,43,45.2,2.42,53.24203229,17.1,42.8,5,41.1,10.3,7.5,68.4,42.2,40.1,20.9,94.71999449,1.356142223,0.533507727,2.364643927,185
"Marion County, Alabama",30168,460,37707,20.2,44.1,42.9,44.7,2.34,54.04278748,29.2,29.3,3.2,34.5,7.4,9.9,64.9,39.5,40.2,19.7,93.6189818,3.850330734,0.283015763,0.0691085,189.8
"McDowell County, West Virginia",19835,457.1,24707,34.9,44.1,41.5,46.5,2.39,44.26650367,32.3,51.6,3.1,43.9,3.2,13.3,39.7,23.4,58.5,37.7,89.35679262,9.157773291,0,0.572060379,234.8
"Mercer County, Missouri",3694,405.5,38023,15,44.1,43.6,44.7,2.43,51.36393879,24.7,27.9,15.8,50.1,9.1,4.6,59.9,37.9,35,16.5,97.17590102,0.72619688,0.591715976,0.457235073,180.7
"Page County, Virginia",23726,430.1,44851,16.9,44.1,43.5,44.9,2.52,53.00896287,14.8,41.3,7.3,42.9,8.1,9.3,63.5,38.1,35.7,18.1,95.63393868,1.644088412,0.51587468,0.57039802,199.2
"Palm Beach County, Florida",1422789,422.3,52225,14.9,44.1,42.3,45.8,2.54,45.4432712,17.7,28.9,8.8,25.5,21.1,9.5,60.5,36.5,35.5,19.5,74.98799686,17.97243412,2.503905553,2.180944963,144.3
"Perkins County, Nebraska",2944,327.2,56080,10.4,44.1,41.6,45.6,2.32,62.42960579,27.4,31.4,4,31.1,13.5,1.7,78.8,38.9,29.3,10.3,98.8372093,0.136798906,0,0.239398085,147.5
"Polk County, Wisconsin",43441,321.4,52411,11.2,44.1,43.6,44.7,2.39,54.76825609,14.9,43.7,6.1,39,13.3,6.8,69.5,47.9,36.1,18.8,96.29119618,0.387863766,0.541632241,0.743596805,168.1
"Putnam County, Florida",72023,488.3,32054,28.5,44.1,43,45.6,2.57,43.61160279,22.8,43.8,0.6,38.8,7.7,12.6,45.1,24.2,47.8,28.5,77.76081215,16.46445472,0.605260262,2.865357104,211.6
"Richland County, Wisconsin",17495,420.9,44026,13.5,44.1,42.7,45.5,2.29,54.56472771,11.3,37.5,3.8,41,10.7,4.8,68.9,44.1,38.6,18.9,96.44426913,0.726924377,0.383184943,0.946692212,168.7
"Warren County, Indiana",8269,456.2,55925,9.9,44.1,43.5,44.5,2.5,60.2118003,23.1,37.6,6.1,43.8,12.4,5.5,77.8,51.6,31.5,13.7,98.08772559,0.561730608,0.095613721,0.239034301,177.2
"York County, Maine",201169,497.7,55482,11.2,44.1,42.9,45.2,2.4,51.22310568,9.3,36.1,11.6,31.6,20.4,5.9,72.2,50.2,33.1,15.7,96.10180187,0.684087699,1.127793191,0.173776304,173.7
"Clark County, South Dakota",3659,429.4,48024,13.8,44,42.4,47.2,2.21,53.49462366,31.6,30.5,0.7,37.3,15.7,2.8,74.9,35.6,32.1,14.4,94.89655172,0.965517241,0.8,0.8,138.4
"Erie County, Ohio",75550,479.9,49234,13.9,44,42.8,45,2.35,47.04882425,12.2,39,5.5,39.5,13.4,7.7,71.7,48.7,36.1,16.7,86.56702696,8.419905176,0.509580909,0.886513179,193.7
"Hancock County, Iowa",10974,492.1,57682,8.4,44,43.1,45.7,2.33,56.73015194,17,29.7,10.4,36.4,13.2,1.5,79.4,48.7,33.2,13.9,97.08799135,0.64911648,0.306527227,0.4056978,171.3
"Island County, Washington",80593,462,59358,10.3,44,41.5,47,2.33,56.3290566,14.7,43,4.7,23.3,20.6,9,75.7,30.8,36.5,14.1,85.0470824,2.945959233,4.641429994,1.453440734,143.5
"Kennebec County, Maine",119980,478.4,45556,13.8,44,43.2,44.6,2.28,47.20175728,10.5,36.1,7.8,35.6,15.3,7.7,67.6,44.8,39.2,18.9,96.0061761,0.790177687,0.771187,0.406235551,193.2
"Madison County, North Carolina",21139,416.2,38445,19.9,44,42.4,45.9,2.36,55.25443787,15.7,17.8,12.1,31,12.9,7.3,61.8,35.6,40.4,21.9,95.76259095,1.945118181,0.475579017,0.565939031,143.7
